Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,,,,,,,,Current target framework: net47 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\AlphaFS FileIdInfo Class\AlphaFS_Directory.GetFileIdInfo.cs,48,12,P:System.IO.DirectoryInfo.FullName,,,,,var fid = Alphaleonis.Win32.Filesystem.Directory.GetFileIdInfo(folder.FullName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\AlphaFS FileIdInfo Class\AlphaFS_Directory.GetFileIdInfo.cs,45,12,P:System.IO.DirectoryInfo.FullName,,,,,"Console.WriteLine(""Input Directory Path: [{0}]"", folder.FullName);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty.cs,53,12,P:System.IO.DirectoryInfo.FullName,,,,,"Assert.IsTrue(Alphaleonis.Win32.Filesystem.Directory.IsEmpty(folder.FullName), ""It is expected that the folder is empty."");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty.cs,48,12,P:System.IO.DirectoryInfo.FullName,,,,,var isEmpty = Alphaleonis.Win32.Filesystem.Directory.IsEmpty(folder.FullName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty.cs,45,12,P:System.IO.DirectoryInfo.FullName,,,,,"Console.WriteLine(""Input Directory Path: [{0}]"", folder.FullName);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty.cs,43,12,P:System.IO.DirectoryInfo.FullName,,,,,"var folder = System.IO.Directory.CreateDirectory(System.IO.Path.Combine(tempRoot.Directory.FullName, ""Empty Folder""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFile_IsFalse.cs,56,12,P:System.IO.DirectoryInfo.FullName,,,,,var isEmpty = Alphaleonis.Win32.Filesystem.Directory.IsEmpty(folder.FullName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFile_IsFalse.cs,50,12,P:System.IO.DirectoryInfo.FullName,,,,,"var file = System.IO.Path.Combine(folder.FullName, ""a_file.txt"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFile_IsFalse.cs,46,12,P:System.IO.DirectoryInfo.FullName,,,,,"Console.WriteLine(""Input Directory Path: [{0}]"", folder.FullName);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFile_IsFalse.cs,44,12,P:System.IO.DirectoryInfo.FullName,,,,,"var folder = System.IO.Directory.CreateDirectory(System.IO.Path.Combine(tempRoot.Directory.FullName, ""Empty Folder""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFolder_IsFalse.cs,56,12,P:System.IO.DirectoryInfo.FullName,,,,,var isEmpty = Alphaleonis.Win32.Filesystem.Directory.IsEmpty(folder.FullName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFolder_IsFalse.cs,50,12,P:System.IO.DirectoryInfo.FullName,,,,,"var subFolder = System.IO.Path.Combine(folder.FullName, ""a_file.txt"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFolder_IsFalse.cs,46,12,P:System.IO.DirectoryInfo.FullName,,,,,"Console.WriteLine(""Input Directory Path: [{0}]"", folder.FullName);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\Directory Class\AlphaFS_Directory.IsEmpty\AlphaFS_Directory.IsEmpty_DirectoryContainsAFolder_IsFalse.cs,44,12,P:System.IO.DirectoryInfo.FullName,,,,,"var folder = System.IO.Directory.CreateDirectory(System.IO.Path.Combine(tempRoot.Directory.FullName, ""Empty Folder""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,395,15,P:System.IO.DirectoryInfo.FullName,,,,,"var dirInfo = new Alphaleonis.Win32.Filesystem.DirectoryInfo(Directory.FullName, Alphaleonis.Win32.Filesystem.PathFormat.FullPath);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,389,15,P:System.IO.DirectoryInfo.FullName,,,,,"System.IO.Directory.Delete(Directory.FullName, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,335,12,P:System.IO.DirectoryInfo.FullName,,,,,"foreach (var folder in System.IO.Directory.EnumerateDirectories(dirInfo.FullName))                 CreateTreeCore(folder, level, false, randomizedDates, readOnly, hidden);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,329,12,P:System.IO.DirectoryInfo.FullName,,,,,"CreateFileCore(System.IO.Path.Combine(fsoCount % 2 == 0 ? di.FullName : dirInfo.FullName, string.Format(CultureInfo.InvariantCulture, ""File_{0}_file.txt"", fsoName)), randomizedDates, readOnly, hidden);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,329,12,P:System.IO.DirectoryInfo.FullName,,,,,"CreateFileCore(System.IO.Path.Combine(fsoCount % 2 == 0 ? di.FullName : dirInfo.FullName, string.Format(CultureInfo.InvariantCulture, ""File_{0}_file.txt"", fsoName)), randomizedDates, readOnly, hidden);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,326,12,P:System.IO.DirectoryInfo.FullName,,,,,"var di = CreateDirectoryCore(System.IO.Path.Combine(dirInfo.FullName, string.Format(CultureInfo.InvariantCulture, ""Directory_{0}_directory"", fsoName)), randomizedDates, readOnly, hidden);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,270,9,P:System.IO.DirectoryInfo.FullName,,,,,return Directory.FullName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,263,12,M:System.IO.DirectoryInfo.SetAccessControl(System.Security.AccessControl.DirectorySecurity),,,,,dirInfo.SetAccessControl(dirSecurity);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,261,12,M:System.IO.DirectoryInfo.GetAccessControl,,,,,dirSecurity = dirInfo.GetAccessControl();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,255,12,M:System.IO.DirectoryInfo.SetAccessControl(System.Security.AccessControl.DirectorySecurity),,,,,dirInfo.SetAccessControl(dirSecurity);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,253,12,M:System.IO.DirectoryInfo.GetAccessControl,,,,,dirSecurity = dirInfo.GetAccessControl();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,156,9,P:System.IO.DirectoryInfo.FullName,,,,,"return CreateDirectoryCore(Directory.FullName + directoryNameSuffix, false, true, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,142,9,P:System.IO.DirectoryInfo.FullName,,,,,return CreateDirectoryCore(Directory.FullName + directoryNameSuffix);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,tests\AlphaFS.UnitTest\AlphaFS.UnitTest.csproj,File,tests\AlphaFS.UnitTest\UnitTest Utility\TemporaryDirectory.cs,99,15,P:System.IO.DirectoryInfo.FullName,,,,,"return System.IO.Path.Combine(Directory.FullName, System.IO.Path.GetFileNameWithoutExtension(RandomTxtFileName));"
